Year;Author;Title;ID;ID_2;Exp_ID;Treatment_ID;ES_ID;Comparison;Type_of_study;Study_Design;Kind_of_Medical_Field;Medical_Field;LLM_Model;Accessed_model;Model_version;Timestamp_of_model;Test_Data;Recruitment_Country;Recruitment_Context_of_Physicians;Average_Length_of_Patient_Cases_Mean_Words;Average_Length_of_Patient_Cases_SD_Words;Case_setting;Task_Format;Patient_history;Input_Form_Patient_Information_in_LLM;Follow_Up_Prompts_Allowed;Average_Number_of_Prompts_Mean;Average_Number_of_Prompts_SD;Division_of_Labor;Explanation_Format_of_LLM;Composite_score;Sample_Size;Note;Time_lag_sessions;Type_of_Results;Measure_type;N_total;M_control;n_control_case;n_control_physician;n_control;SE_control;SD_control;95CI_lower_control;95CI_upper_control;M_treatment;n_treatment_case;n_treatment_physician;n_treatment;SE_treatment;SD_treatment;95CI_lower_treatment;95CI_upper_treatment;Performance_Difference;95CI_lower_performance_diff;95CI_upper_performance_diff;Performance_difference_p_value;Odds_Ratio;95CI_lower_odds_ratio;95CI_upper_odds_ratio;Career_stage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Everett et al.;From Tool to Teammate: A Randomized Controlled Trial of Clinician-AI Collaborative Workflows for Diagnosis;Everett et al.;1;11;1;111;Group with direct access to LLM;pre-print;RCT;Internal medicine or family medicine;general medicine;GPT-4;NA;NA;NA;external;United States;University;NA;NA;Real-world;differential;1;text;Yes;NA;NA;Direct access to LLM;differential;yes;70;same physicians with and without AI assistance;NA;Scoring system;Accuracy;12.00;0.75;6.00;43.00;146.00;NA;NA;NA;NA;0.85;6.00;27.00;108.00;NA;NA;NA;NA;0.10;0.05;0.15;0.00;NA;NA;NA;mixed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Everett et al.;From Tool to Teammate: A Randomized Controlled Trial of Clinician-AI Collaborative Workflows for Diagnosis;Everett et al.;1;12;1;121;Group with human pre-work;pre-print;RCT;Internal medicine or family medicine;general medicine;GPT-4;NA;NA;NA;external;United States;University;NA;NA;Real-world;differential, free text;1;text;Yes;NA;NA;With Human Pre-Work;differential;yes;70;same physicians with and without AI assistance;NA;Scoring system;Accuracy;146.00;0.75;6.00;43.00;146.00;NA;NA;NA;NA;0.82;6.00;43.00;146.00;NA;NA;NA;NA;0.07;0.04;0.10;0.00;NA;NA;NA;mixed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Goh et al. ;Large Language Model Influence on Diagnostic Reasoning;Goh et al. ;2;21;1;211;Composite Score of the structure reflection tool;peer-reviewed;RCT;general medicine (internal medicine, family medicine, or emergency medicine);general medicine;GPT-4;ChatGPT plus (OpenAI);NA;NA;external;United States;(University) Hospitals;NA;NA;Real-world;differential, free text;1;text;Yes;NA;NA;Direct access to LLM;differential;yes;50;NA;NA (separate groups);Scoring system;Accuracy;244.00;0.73;6.00;25.00;119.00;NA;NA;NA;NA;0.75;6.00;25.00;125.00;NA;NA;NA;NA;0.03;-0.04;0.08;0.60;1.40;0.70;2.80;mixed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Goh et al. ;Large Language Model Influence on Diagnostic Reasoning;Goh et al. ;2;21;2;212;Focus of diagnosis (as part of the structured reflection tool);peer-reviewed;RCT;general medicine (internal medicine, family medicine, or emergency medicine);general medicine;GPT-4;ChatGPT plus (OpenAI);NA;NA;external;United States;(University) Hospitals;NA;NA;Real-world;free text;1;text;Yes;NA;NA;Direct access to LLM;standard;no;50;NA;NA (separate groups);top-1;Accuracy;244.00;0.63;6.00;25.00;119.00;NA;NA;NA;NA;0.71;6.00;25.00;125.00;NA;NA;NA;NA;0.08;NA;NA;NA;1.90;0.90;4.00;mixed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Liu et al.;A generalist medical language model for disease diagnosis assistance;Liu et al.;3;31;1;311;top-1 accuracy junior in pulmonology;peer-reviewed;AI-assistance study;Pulmonology;general medicine;MedFound (Bloom-176B);MedFound-DX-PA;NA;NA;tailored data set from Chinese hospitals;China;NA;NA;NA;Real-world;differential, free text;1;text;No;NA;NA;With Human Pre-Work;CoT;no;3;same physicians with and without AI assistance;2 weeks;top-1;Accuracy;450.00;0.60;150.00;3.00;450.00;NA;0.49;NA;NA;0.72;150.00;3.00;450.00;NA;0.45;NA;NA;0.12;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Liu et al.;A generalist medical language model for disease diagnosis assistance;Liu et al.;3;32;1;321;top-1 accuracy intermediate in pulmonology;peer-reviewed;AI-assistance study;Pulmonology;general medicine;MedFound (Bloom-176B);MedFound-DX-PA;NA;NA;tailored data set from Chinese hospitals;China;NA;NA;NA;Real-world;differential, free text;1;text;No;NA;NA;With Human Pre-Work;CoT;no;3;same physicians with and without AI assistance;2 weeks;top-1;Accuracy;450.00;0.68;150.00;3.00;450.00;NA;0.47;NA;NA;0.72;150.00;3.00;450.00;NA;0.45;NA;NA;0.04;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Liu et al.;A generalist medical language model for disease diagnosis assistance;Liu et al.;3;33;1;331;top-1 accuracy junior in endocrinology;peer-reviewed;AI-assistance study;Endocrinology;general medicine;MedFound (Bloom-176B);MedFound-DX-PA;NA;NA;tailored data set from Chinese hospitals;China;NA;NA;NA;Real-world;differential, free text;1;text;No;NA;NA;With Human Pre-Work;CoT;no;3;same physicians with and without AI assistance;2 weeks;top-1;Accuracy;450.00;0.69;150.00;3.00;450.00;NA;0.46;NA;NA;0.74;150.00;3.00;450.00;NA;0.44;NA;NA;0.05;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Liu et al.;A generalist medical language model for disease diagnosis assistance;Liu et al.;3;34;1;341;top-1 accuracy intermediate in endocrinology;peer-reviewed;AI-assistance study;Endocrinology;general medicine;MedFound (Bloom-176B);MedFound-DX-PA;NA;NA;tailored data set from Chinese hospitals;China;NA;NA;NA;Real-world;differential, free text;1;text;No;NA;NA;With Human Pre-Work;CoT;no;3;same physicians with and without AI assistance;2 weeks;top-1;Accuracy;450.00;0.73;150.00;3.00;450.00;NA;0.45;NA;NA;0.79;150.00;3.00;450.00;NA;0.41;NA;NA;0.06;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Wu et al.;A large language model improves clinicians’ diagnostic performance in complex critical illness cases;Wu et al.;4;41;1;411;standard;peer-reviewed;prospective comparative study;critical care;other;DeepSeek-R1;DeepSeek-R1;website version was used, with a total params of 671B, a maximal token length of 128 K, default temperature of 0.6;2025_01;unknown;China;teaching hospitals;NA;NA;Real-world (published) cases;differential, free text;1;text;No;0;0;Direct access to LLM;differential;no;32;NA;NA (separate groups);top-1;Accuracy;48.00;0.27;48.00;16.00;48.00;NA;NA;0.15;0.40;0.58;48.00;16.00;48.00;NA;NA;0.44;0.73;0.31;NA;NA;0.01;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Le Guellec et al.;Comparison between multimodal foundation models and radiologists for the diagnosis of challenging neuroradiology cases with text and images;Le Guellec et al.;5;51;1;511;standard - only focus on AI-assistance part here!;pre-print;retrospective study / observational study;neuroradiology;radiology;Gemini 1.5 Pro;programming interface;NA;2024_09;unknown;France;academic hospital;NA;NA;Real-world (published) cases;differential, free text;1;multimodal (text + image);No;0;0;With Human Pre-Work;differential, standard;no;3;same physicians with and without AI assistance;NA;top-3;Accuracy;159.00;0.47;53.00;3.00;159.00;NA;0.50;NA;NA;0.56;53.00;3.00;159.00;NA;0.50;NA;NA;0.09;NA;NA;<0.01;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
